geneId	chr	strand	start	end	ensembl_gene_id	hgnc_symbol	description
ENSG00000114982.16	chr2	-	96593170	96642787	ENSG00000114982	KANSL3	KAT8 regulatory NSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25473]
ENSG00000114988.10	chr2	-	96705929	96740064	ENSG00000114988	LMAN2L	lectin, mannose binding 2 like [Source:HGNC Symbol;Acc:HGNC:19263]
ENSG00000114993.14	chr2	-	74425836	74442422	ENSG00000114993	RTKN	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]
ENSG00000114999.7	chr2	+	112482154	112541739	ENSG00000114999	TTL	tubulin tyrosine ligase [Source:HGNC Symbol;Acc:HGNC:21586]
ENSG00000115008.5	chr2	-	112773915	112784590	ENSG00000115008	IL1A	interleukin 1 alpha [Source:HGNC Symbol;Acc:HGNC:5991]
ENSG00000115009.10	chr2	+	227813842	227817564	ENSG00000115009	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]
ENSG00000115020.15	chr2	+	208266267	208358751	ENSG00000115020	PIKFYVE	phosphoinositide kinase, FYVE-type zinc finger containing [Source:HGNC Symbol;Acc:HGNC:23785]
ENSG00000115041.11	chr2	+	95297304	95386083	ENSG00000115041	KCNIP3	potassium voltage-gated channel interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:15523]
ENSG00000115042.8	chr2	+	95402721	95416616	ENSG00000115042	FAHD2A	fumarylacetoacetate hydrolase domain containing 2A [Source:HGNC Symbol;Acc:HGNC:24252]
ENSG00000115053.14	chr2	-	231453531	231483641	ENSG00000115053	NCL	nucleolin [Source:HGNC Symbol;Acc:HGNC:7667]
ENSG00000115073.7	chr2	-	97655963	97664107	ENSG00000115073	ACTR1B	ARP1 actin-related protein 1 homolog B, centractin beta [Source:HGNC Symbol;Acc:HGNC:168]
ENSG00000115084.11	chr2	-	113705011	113756823	ENSG00000115084	SLC35F5	solute carrier family 35 member F5 [Source:HGNC Symbol;Acc:HGNC:23617]
ENSG00000115085.12	chr2	+	97713560	97739862	ENSG00000115085	ZAP70	zeta chain of T cell receptor associated protein kinase 70kDa [Source:HGNC Symbol;Acc:HGNC:12858]
ENSG00000115091.10	chr2	+	113889960	113962596	ENSG00000115091	ACTR3	ARP3 actin-related protein 3 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:170]
ENSG00000115107.18	chr2	+	119223831	119265652	ENSG00000115107	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]
ENSG00000115109.12	chr2	+	120013005	120179119	ENSG00000115109	EPB41L5	erythrocyte membrane protein band 4.1 like 5 [Source:HGNC Symbol;Acc:HGNC:19819]
ENSG00000115112.7	chr2	-	121216587	121285207	ENSG00000115112	TFCP2L1	transcription factor CP2-like 1 [Source:HGNC Symbol;Acc:HGNC:17925]
ENSG00000115128.6	chr2	-	24067584	24076443	ENSG00000115128	SF3B6	splicing factor 3b subunit 6 [Source:HGNC Symbol;Acc:HGNC:30096]
ENSG00000115129.12	chr2	-	24077433	24085861	ENSG00000115129	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]
ENSG00000115137.10	chr2	-	24943636	24972094	ENSG00000115137	DNAJC27	DnaJ heat shock protein family (Hsp40) member C27 [Source:HGNC Symbol;Acc:HGNC:30290]
ENSG00000115145.8	chr2	-	152116801	152175992	ENSG00000115145	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]
ENSG00000115159.14	chr2	+	156435290	156613735	ENSG00000115159	GPD2	glycerol-3-phosphate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:4456]
ENSG00000115163.13	chr2	+	26764289	26801067	ENSG00000115163	CENPA	centromere protein A [Source:HGNC Symbol;Acc:HGNC:1851]
ENSG00000115165.8	chr2	-	157414619	157488961	ENSG00000115165	CYTIP	cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]
ENSG00000115170.12	chr2	-	157736444	157875862	ENSG00000115170	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]
ENSG00000115183.12	chr2	+	158968634	159232659	ENSG00000115183	TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29364]
ENSG00000115204.13	chr2	-	27309492	27325680	ENSG00000115204	MPV17	MPV17, mitochondrial inner membrane protein [Source:HGNC Symbol;Acc:HGNC:7224]
ENSG00000115207.12	chr2	-	27325849	27357034	ENSG00000115207	GTF3C2	general transcription factor IIIC subunit 2 [Source:HGNC Symbol;Acc:HGNC:4665]
ENSG00000115211.14	chr2	-	27364352	27370486	ENSG00000115211	EIF2B4	eukaryotic translation initiation factor 2B subunit delta [Source:HGNC Symbol;Acc:HGNC:3260]
ENSG00000115216.12	chr2	+	27427790	27442259	ENSG00000115216	NRBP1	nuclear receptor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7993]
ENSG00000115221.9	chr2	-	160099666	160271888	ENSG00000115221	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]
ENSG00000115226.8	chr2	-	27491883	27495245	ENSG00000115226	FNDC4	fibronectin type III domain containing 4 [Source:HGNC Symbol;Acc:HGNC:20239]
ENSG00000115232.12	chr2	+	181457202	181536187	ENSG00000115232	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]
ENSG00000115233.10	chr2	+	161308038	161411717	ENSG00000115233	PSMD14	proteasome 26S subunit, non-ATPase 14 [Source:HGNC Symbol;Acc:HGNC:16889]
ENSG00000115234.9	chr2	+	27370496	27377533	ENSG00000115234	SNX17	sorting nexin 17 [Source:HGNC Symbol;Acc:HGNC:14979]
ENSG00000115239.20	chr2	-	53532672	53787610	ENSG00000115239	ASB3	ankyrin repeat and SOCS box containing 3 [Source:HGNC Symbol;Acc:HGNC:16013]
ENSG00000115241.10	chr2	-	27381194	27409687	ENSG00000115241	PPM1G	protein phosphatase, Mg2+/Mn2+ dependent 1G [Source:HGNC Symbol;Acc:HGNC:9278]
ENSG00000115252.17	chr2	-	182140036	182523192	ENSG00000115252	PDE1A	phosphodiesterase 1A [Source:HGNC Symbol;Acc:HGNC:8774]
ENSG00000115255.9	chr19	+	1490747	1497927	ENSG00000115255	REEP6	receptor accessory protein 6 [Source:HGNC Symbol;Acc:HGNC:30078]
ENSG00000115257.14	chr19	-	1481428	1490752	ENSG00000115257	PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]
ENSG00000115263.13	chr2	-	162142873	162152404	ENSG00000115263	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]
ENSG00000115266.10	chr19	+	1446302	1473244	ENSG00000115266	APC2	adenomatosis polyposis coli 2 [Source:HGNC Symbol;Acc:HGNC:24036]
ENSG00000115267.5	chr2	-	162267079	162318703	ENSG00000115267	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]
ENSG00000115268.8	chr19	+	1438358	1440494	ENSG00000115268	RPS15	ribosomal protein S15 [Source:HGNC Symbol;Acc:HGNC:10388]
ENSG00000115271.9	chr2	+	162318840	162371595	ENSG00000115271	GCA	grancalcin [Source:HGNC Symbol;Acc:HGNC:15990]
ENSG00000115274.13	chr2	+	74455023	74457960	ENSG00000115274	INO80B	INO80 complex subunit B [Source:HGNC Symbol;Acc:HGNC:13324]
ENSG00000115275.10	chr2	-	74461057	74465410	ENSG00000115275	MOGS	mannosyl-oligosaccharide glucosidase [Source:HGNC Symbol;Acc:HGNC:24862]
ENSG00000115282.18	chr2	+	74483073	74494886	ENSG00000115282	TTC31	tetratricopeptide repeat domain 31 [Source:HGNC Symbol;Acc:HGNC:25759]
ENSG00000115286.18	chr19	+	1383527	1395589	ENSG00000115286	NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7 [Source:HGNC Symbol;Acc:HGNC:7714]
ENSG00000115289.11	chr2	-	74505043	74508580	ENSG00000115289	PCGF1	polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]
ENSG00000115290.8	chr2	-	164492812	164621848	ENSG00000115290	GRB14	growth factor receptor bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]
ENSG00000115295.18	chr2	+	29097705	29189643	ENSG00000115295	CLIP4	CAP-Gly domain containing linker protein family member 4 [Source:HGNC Symbol;Acc:HGNC:26108]
ENSG00000115306.14	chr2	+	54456285	54671445	ENSG00000115306	SPTBN1	spectrin beta, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11275]
ENSG00000115307.15	chr2	-	74526645	74529939	ENSG00000115307	AUP1	ancient ubiquitous protein 1 [Source:HGNC Symbol;Acc:HGNC:891]
ENSG00000115310.16	chr2	-	54972187	55112621	ENSG00000115310	RTN4	reticulon 4 [Source:HGNC Symbol;Acc:HGNC:14085]
ENSG00000115317.10	chr2	+	74529377	74533348	ENSG00000115317	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]
ENSG00000115318.10	chr2	-	74532414	74555690	ENSG00000115318	LOXL3	lysyl oxidase like 3 [Source:HGNC Symbol;Acc:HGNC:13869]
ENSG00000115325.12	chr2	+	74549026	74557554	ENSG00000115325	DOK1	docking protein 1 [Source:HGNC Symbol;Acc:HGNC:2990]
ENSG00000115339.12	chr2	-	165747591	165794682	ENSG00000115339	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:4125]
ENSG00000115350.10	chr2	+	74958492	74970128	ENSG00000115350	POLE4	polymerase (DNA) epsilon 4, accessory subunit [Source:HGNC Symbol;Acc:HGNC:18755]
ENSG00000115355.14	chr2	-	55287842	55419921	ENSG00000115355	CCDC88A	coiled-coil domain containing 88A [Source:HGNC Symbol;Acc:HGNC:25523]
ENSG00000115363.12	chr2	-	75469302	75569722	ENSG00000115363	EVA1A	eva-1 homolog A, regulator of programmed cell death [Source:HGNC Symbol;Acc:HGNC:25816]
ENSG00000115364.12	chr2	+	75646783	75690851	ENSG00000115364	MRPL19	mitochondrial ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:14052]
ENSG00000115365.10	chr2	-	210431249	210477652	ENSG00000115365	LANCL1	LanC like 1 [Source:HGNC Symbol;Acc:HGNC:6508]
ENSG00000115368.8	chr2	+	189441433	189475565	ENSG00000115368	WDR75	WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]
ENSG00000115380.17	chr2	-	55865967	55924139	ENSG00000115380	EFEMP1	EGF containing fibulin like extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]
ENSG00000115386.5	chr2	+	79120362	79123419	ENSG00000115386	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]
ENSG00000115392.10	chr2	-	58159243	58241372	ENSG00000115392	FANCL	Fanconi anemia complementation group L [Source:HGNC Symbol;Acc:HGNC:20748]
ENSG00000115414.17	chr2	-	215360440	215436172	ENSG00000115414	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]
ENSG00000115415.17	chr2	-	190964358	191020960	ENSG00000115415	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]
ENSG00000115419.11	chr2	+	190880827	190965552	ENSG00000115419	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]
ENSG00000115421.11	chr2	+	60756230	60802085	ENSG00000115421	PAPOLG	poly(A) polymerase gamma [Source:HGNC Symbol;Acc:HGNC:14982]
ENSG00000115423.17	chr2	+	84516455	84819589	ENSG00000115423	DNAH6	dynein axonemal heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:2951]
ENSG00000115425.12	chr2	-	215996329	216082955	ENSG00000115425	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]
ENSG00000115446.10	chr2	+	98608579	98618515	ENSG00000115446	UNC50	unc-50 inner nuclear membrane RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16046]
ENSG00000115457.8	chr2	+	216632828	216664436	ENSG00000115457	IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]
ENSG00000115459.16	chr2	+	85354394	85391752	ENSG00000115459	ELMOD3	ELMO domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26158]
ENSG00000115461.4	chr2	-	216672105	216695525	ENSG00000115461	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]
ENSG00000115464.13	chr2	-	61187463	61470769	ENSG00000115464	USP34	ubiquitin specific peptidase 34 [Source:HGNC Symbol;Acc:HGNC:20066]
ENSG00000115468.10	chr2	+	232606057	232682781	ENSG00000115468	EFHD1	EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]
ENSG00000115484.13	chr2	-	61868089	61888804	ENSG00000115484	CCT4	chaperonin containing TCP1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:1617]
ENSG00000115486.10	chr2	-	85544723	85561547	ENSG00000115486	GGCX	gamma-glutamyl carboxylase [Source:HGNC Symbol;Acc:HGNC:4247]
ENSG00000115504.13	chr2	+	62673851	63046487	ENSG00000115504	EHBP1	EH domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:29144]
ENSG00000115507.8	chr2	+	63050057	63057836	ENSG00000115507	OTX1	orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8521]
ENSG00000115514.10	chr2	-	99318982	99340702	ENSG00000115514	TXNDC9	thioredoxin domain containing 9 [Source:HGNC Symbol;Acc:HGNC:24110]
ENSG00000115520.7	chr2	+	197453423	197475308	ENSG00000115520	COQ10B	coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819]
ENSG00000115523.15	chr2	+	85685175	85698854	ENSG00000115523	GNLY	granulysin [Source:HGNC Symbol;Acc:HGNC:4414]
ENSG00000115524.14	chr2	-	197389784	197435091	ENSG00000115524	SF3B1	splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]
ENSG00000115525.15	chr2	-	85839144	85889014	ENSG00000115525	ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:10872]
ENSG00000115526.9	chr2	-	100391860	100417656	ENSG00000115526	CHST10	carbohydrate sulfotransferase 10 [Source:HGNC Symbol;Acc:HGNC:19650]
ENSG00000115539.12	chr2	+	100562690	100576735	ENSG00000115539	PDCL3	phosducin like 3 [Source:HGNC Symbol;Acc:HGNC:28860]
ENSG00000115540.13	chr2	+	197515571	197553699	ENSG00000115540	MOB4	MOB family member 4, phocein [Source:HGNC Symbol;Acc:HGNC:17261]
ENSG00000115541.9	chr2	+	197499994	197503457	ENSG00000115541	HSPE1	heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]
ENSG00000115548.15	chr2	+	86440647	86492716	ENSG00000115548	KDM3A	lysine demethylase 3A [Source:HGNC Symbol;Acc:HGNC:20815]
ENSG00000115556.12	chr2	+	218607765	218637184	ENSG00000115556	PLCD4	phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]
ENSG00000115561.13	chr2	-	86503430	86620493	ENSG00000115561	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]
ENSG00000115568.14	chr2	-	218637916	218659655	ENSG00000115568	ZNF142	zinc finger protein 142 [Source:HGNC Symbol;Acc:HGNC:12927]
ENSG00000115590.12	chr2	+	101991844	102028544	ENSG00000115590	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]
ENSG00000115594.10	chr2	+	102064544	102179874	ENSG00000115594	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]
ENSG00000115598.8	chr2	+	102186973	102240002	ENSG00000115598	IL1RL2	interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]
ENSG00000115602.15	chr2	+	102311502	102352037	ENSG00000115602	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]
ENSG00000115604.9	chr2	+	102311529	102398775	ENSG00000115604	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]
ENSG00000115607.8	chr2	+	102418689	102452565	ENSG00000115607	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]
ENSG00000115616.2	chr2	+	102619707	102711318	ENSG00000115616	SLC9A2	solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072]
ENSG00000115641.17	chr2	-	105357712	105438513	ENSG00000115641	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
ENSG00000115648.12	chr2	+	237485428	237555318	ENSG00000115648	MLPH	melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]
ENSG00000115649.14	chr2	-	219171897	219178106	ENSG00000115649	CNPPD1	cyclin Pas1/PHO80 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25220]
ENSG00000115652.13	chr2	-	106093303	106194339	ENSG00000115652	UXS1	UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729]
ENSG00000115657.11	chr2	-	219209768	219218990	ENSG00000115657	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]
ENSG00000115661.12	chr2	+	219245455	219250337	ENSG00000115661	STK16	serine/threonine kinase 16 [Source:HGNC Symbol;Acc:HGNC:11394]
ENSG00000115677.15	chr2	-	241227264	241317061	ENSG00000115677	HDLBP	high density lipoprotein binding protein [Source:HGNC Symbol;Acc:HGNC:4857]
ENSG00000115685.13	chr2	+	241149576	241183652	ENSG00000115685	PPP1R7	protein phosphatase 1 regulatory subunit 7 [Source:HGNC Symbol;Acc:HGNC:9295]
ENSG00000115687.12	chr2	-	241106099	241150264	ENSG00000115687	PASK	PAS domain containing serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:17270]
ENSG00000115694.13	chr2	-	241492674	241509730	ENSG00000115694	STK25	serine/threonine kinase 25 [Source:HGNC Symbol;Acc:HGNC:11404]
ENSG00000115705.19	chr2	+	1374223	1543711	ENSG00000115705	TPO	thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]
ENSG00000115718.16	chr2	+	127418427	127429246	ENSG00000115718	PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]
ENSG00000115738.8	chr2	+	8678845	8684453	ENSG00000115738	ID2	inhibitor of DNA binding 2, HLH protein [Source:HGNC Symbol;Acc:HGNC:5361]
ENSG00000115750.15	chr2	+	9843354	9934416	ENSG00000115750	TAF1B	TATA-box binding protein associated factor, RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:11533]
ENSG00000115756.11	chr2	+	10302889	10427617	ENSG00000115756	HPCAL1	hippocalcin like 1 [Source:HGNC Symbol;Acc:HGNC:5145]
ENSG00000115758.11	chr2	-	10439968	10448504	ENSG00000115758	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]
ENSG00000115760.12	chr2	+	32357028	32618899	ENSG00000115760	BIRC6	baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]
ENSG00000115761.14	chr2	-	10570766	10689987	ENSG00000115761	NOL10	nucleolar protein 10 [Source:HGNC Symbol;Acc:HGNC:25862]
ENSG00000115762.15	chr2	+	131104847	131353709	ENSG00000115762	PLEKHB2	pleckstrin homology domain containing B2 [Source:HGNC Symbol;Acc:HGNC:19236]
ENSG00000115806.11	chr2	+	170928464	170967129	ENSG00000115806	GORASP2	golgi reassembly stacking protein 2 [Source:HGNC Symbol;Acc:HGNC:17500]
ENSG00000115808.10	chr2	-	36843640	36966472	ENSG00000115808	STRN	striatin [Source:HGNC Symbol;Acc:HGNC:11424]
ENSG00000115816.12	chr2	-	37201612	37231713	ENSG00000115816	CEBPZ	CCAAT/enhancer binding protein zeta [Source:HGNC Symbol;Acc:HGNC:24218]
ENSG00000115825.8	chr2	-	37250502	37324808	ENSG00000115825	PRKD3	protein kinase D3 [Source:HGNC Symbol;Acc:HGNC:9408]
ENSG00000115827.12	chr2	+	171434217	171485052	ENSG00000115827	DCAF17	DDB1 and CUL4 associated factor 17 [Source:HGNC Symbol;Acc:HGNC:25784]
ENSG00000115828.14	chr2	+	37344574	37373322	ENSG00000115828	QPCT	glutaminyl-peptide cyclotransferase [Source:HGNC Symbol;Acc:HGNC:9753]
ENSG00000115839.16	chr2	+	135052265	135176394	ENSG00000115839	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:17063]
ENSG00000115840.12	chr2	-	171784370	171999859	ENSG00000115840	SLC25A12	solute carrier family 25 member 12 [Source:HGNC Symbol;Acc:HGNC:10982]
ENSG00000115841.18	chr2	+	37923187	38067142	ENSG00000115841	RMDN2	regulator of microtubule dynamics 2 [Source:HGNC Symbol;Acc:HGNC:26567]
ENSG00000115866.9	chr2	-	135906677	135986100	ENSG00000115866	DARS	aspartyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:2678]
ENSG00000115875.17	chr2	-	38743599	38751494	ENSG00000115875	SRSF7	serine and arginine rich splicing factor 7 [Source:HGNC Symbol;Acc:HGNC:10789]
ENSG00000115884.9	chr2	-	20200797	20225433	ENSG00000115884	SDC1	syndecan 1 [Source:HGNC Symbol;Acc:HGNC:10658]
ENSG00000115896.14	chr2	+	197804702	198572581	ENSG00000115896	PLCL1	phospholipase C like 1 [Source:HGNC Symbol;Acc:HGNC:9063]
ENSG00000115902.9	chr2	+	64988477	65023865	ENSG00000115902	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]
ENSG00000115904.11	chr2	-	38981396	39124345	ENSG00000115904	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]
ENSG00000115919.13	chr2	+	142877498	143055832	ENSG00000115919	KYNU	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]
ENSG00000115935.15	chr2	-	174559572	174682916	ENSG00000115935	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]
ENSG00000115942.7	chr2	-	200908973	200963680	ENSG00000115942	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]
ENSG00000115944.13	chr2	-	42333546	42425088	ENSG00000115944	COX7A2L	cytochrome c oxidase subunit 7A2 like [Source:HGNC Symbol;Acc:HGNC:2289]
ENSG00000115946.6	chr2	+	68157844	68176238	ENSG00000115946	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]
ENSG00000115947.12	chr2	-	147930397	148021604	ENSG00000115947	ORC4	origin recognition complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:8490]
ENSG00000115956.9	chr2	+	68365173	68397453	ENSG00000115956	PLEK	pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]
ENSG00000115963.12	chr2	-	150468195	150539011	ENSG00000115963	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]
ENSG00000115966.15	chr2	-	175072250	175168382	ENSG00000115966	ATF2	activating transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:784]
ENSG00000115970.17	chr2	-	43230836	43596046	ENSG00000115970	THADA	THADA, armadillo repeat containing [Source:HGNC Symbol;Acc:HGNC:19217]
ENSG00000115977.17	chr2	-	69457997	69674349	ENSG00000115977	AAK1	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]
ENSG00000115993.10	chr2	-	201377207	201451611	ENSG00000115993	TRAK2	trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]
ENSG00000115998.6	chr2	-	70149880	70248615	ENSG00000115998	C2orf42	chromosome 2 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:26056]
ENSG00000116001.14	chr2	-	70209444	70248660	ENSG00000116001	TIA1	TIA1 cytotoxic granule-associated RNA binding protein [Source:HGNC Symbol;Acc:HGNC:11802]
ENSG00000116005.10	chr2	+	70257386	70281191	ENSG00000116005	PCYOX1	prenylcysteine oxidase 1 [Source:HGNC Symbol;Acc:HGNC:20588]
ENSG00000116016.12	chr2	+	46293667	46386703	ENSG00000116016	EPAS1	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]
ENSG00000116017.9	chr19	+	925781	975934	ENSG00000116017	ARID3A	AT-rich interaction domain 3A [Source:HGNC Symbol;Acc:HGNC:3031]
ENSG00000116030.15	chr2	-	202206180	202238608	ENSG00000116030	SUMO1	small ubiquitin-like modifier 1 [Source:HGNC Symbol;Acc:HGNC:12502]
ENSG00000116031.8	chr2	-	70830214	70835822	ENSG00000116031	CD207	CD207 molecule [Source:HGNC Symbol;Acc:HGNC:17935]
ENSG00000116044.14	chr2	-	177227595	177392697	ENSG00000116044	NFE2L2	nuclear factor, erythroid 2 like 2 [Source:HGNC Symbol;Acc:HGNC:7782]
ENSG00000116062.13	chr2	+	47695530	47810101	ENSG00000116062	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]
ENSG00000116095.9	chr2	+	178480468	178516462	ENSG00000116095	PLEKHA3	pleckstrin homology domain containing A3 [Source:HGNC Symbol;Acc:HGNC:14338]
ENSG00000116096.5	chr2	+	72887360	72892158	ENSG00000116096	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase) [Source:HGNC Symbol;Acc:HGNC:11257]
ENSG00000116106.10	chr2	-	221418027	221574202	ENSG00000116106	EPHA4	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]
ENSG00000116117.16	chr2	+	204545793	205620162	ENSG00000116117	PARD3B	par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446]
ENSG00000116120.9	chr2	-	222570536	222656337	ENSG00000116120	FARSB	phenylalanyl-tRNA synthetase beta subunit [Source:HGNC Symbol;Acc:HGNC:17800]
ENSG00000116127.16	chr2	+	73385758	73610793	ENSG00000116127	ALMS1	ALMS1, centrosome and basal body associated protein [Source:HGNC Symbol;Acc:HGNC:428]
ENSG00000116128.8	chr1	+	147541412	147626216	ENSG00000116128	BCL9	B-cell CLL/lymphoma 9 [Source:HGNC Symbol;Acc:HGNC:1008]
ENSG00000116132.10	chr1	+	170662728	170739419	ENSG00000116132	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]
ENSG00000116133.10	chr1	-	54849633	54887218	ENSG00000116133	DHCR24	24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
ENSG00000116138.11	chr1	+	15526813	15592379	ENSG00000116138	DNAJC16	DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol;Acc:HGNC:29157]
ENSG00000116141.14	chr1	+	220528183	220664461	ENSG00000116141	MARK1	microtubule affinity regulating kinase 1 [Source:HGNC Symbol;Acc:HGNC:6896]
ENSG00000116151.12	chr1	-	2321253	2391707	ENSG00000116151	MORN1	MORN repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:25852]
ENSG00000116157.5	chr1	+	52602372	52609051	ENSG00000116157	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]
ENSG00000116161.16	chr1	+	174999163	175011715	ENSG00000116161	CACYBP	calcyclin binding protein [Source:HGNC Symbol;Acc:HGNC:30423]
